05 09 2023 - 22:24:26.774 [main] INFO  c.s.service.test.StudentServiceTest - Starting StudentServiceTest using Java 17.0.7 on Shrabonis-MacBook-Pro.local with PID 32535 (started by shrabonisinha in /Users/shrabonisinha/Documents/workspace-spring-tool-suite-4-4.19.1.RELEASE/SMS)
05 09 2023 - 22:24:28.397 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
05 09 2023 - 22:24:28.400 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
05 09 2023 - 22:26:09.515 [main] INFO  c.s.service.test.StudentServiceTest - Starting StudentServiceTest using Java 17.0.7 on Shrabonis-MacBook-Pro.local with PID 32552 (started by shrabonisinha in /Users/shrabonisinha/Documents/workspace-spring-tool-suite-4-4.19.1.RELEASE/SMS)
05 09 2023 - 22:26:09.516 [main] INFO  c.s.service.test.StudentServiceTest - No active profile set, falling back to 1 default profile: "default"
05 09 2023 - 22:26:09.723 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
05 09 2023 - 22:26:09.748 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 22 ms. Found 6 JPA repository interfaces.
05 09 2023 - 22:26:10.078 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
05 09 2023 - 22:26:10.092 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 5.6.15.Final
05 09 2023 - 22:26:10.105 [main] INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
05 09 2023 - 22:26:10.141 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
05 09 2023 - 22:26:10.290 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
05 09 2023 - 22:26:10.301 [main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL8Dialect
05 09 2023 - 22:26:10.415 [main] INFO  org.hibernate.tuple.PojoInstantiator - HHH000182: No default (no-argument) constructor for class: com.sms.entity.Address (class must be instantiated by Interceptor)
05 09 2023 - 22:26:10.552 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
05 09 2023 - 22:26:10.555 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
05 09 2023 - 22:26:10.792 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
05 09 2023 - 22:26:10.983 [main] INFO  c.s.service.test.StudentServiceTest - Started StudentServiceTest in 1.58 seconds (JVM running for 1.951)
05 09 2023 - 22:26:11.022 [main] INFO  com.sms.entity.Student - Student with details com.sms.entity.Student@7680beacSaved Successfully.
05 09 2023 - 22:26:11.029 [main] INFO  com.sms.entity.Student - Student details with id null was fetched.
05 09 2023 - 22:26:11.036 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
05 09 2023 - 22:26:11.037 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
05 09 2023 - 22:26:11.040 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
